EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
RI Lago de Tucuruí,1402857142857143.0,1838571428571429.0,2.2157142857142852e+16,2797142857142858.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,165.0,226.0,25.0,298.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,135.0,138.0,196.0,259.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,127.0,193.0,215.0,237.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,136.0,175.0,235.0,289.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,158.0,201.0,206.0,259.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,117.0,173.0,206.0,308.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,144.0,181.0,243.0,308.0,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: MEC - INEP,,,,,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,7 Lago de Tucuruí,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
